Years,US 3-month T-Bills,S&P 500,Wilshire 5000,NASDAQ Composite,EAFE,,,
1975,1.061,1.371,1.385,1.318,1.123,,,
1976,1.052,1.236,1.266,1.28,1.156,,,
1977,1.055,0.926,0.974,1.093,1.03,,,
1978,1.077,1.064,1.093,1.146,1.012,,,
1979,1.109,1.184,1.256,1.307,1.023,,,
1980,1.127,1.323,1.337,1.367,1.031,,,
1981,1.156,0.949,0.963,0.99,1.073,,,
1982,1.117,1.215,1.187,1.213,1.311,,,
1983,1.092,1.224,1.235,1.217,1.08,,,
1984,1.103,1.061,1.03,0.903,1.15,,,
1985,1.08,1.316,1.326,1.333,1.213,,,
1986,1.063,1.186,1.161,1.086,1.156,,,
1987,1.061,1.052,1.023,0.959,1.023,,,
1988,1.071,1.165,1.179,1.165,1.076,,,
1989,1.087,1.316,1.292,1.204,1.142,,,
1990,1.08,0.968,0.938,0.83,1.083,,,
1991,1.057,1.304,1.342,1.594,1.161,,,
1992,1.036,1.076,1.09,1.174,1.076,,,
1993,1.031,1.1,1.113,1.162,1.11,,,
1994,1.045,1.012,0.999,0.968,0.965,,,
,,,,,,,,
,,,,,,,,
